"Marca temporal","Doy mi consentimiento para que los datos recogidos en el estudio sean utilizados únicamente con fines estadísticos y con total anonimato.","Sexo","Edad","¿De qué provincia/ciudad autónoma de España eres? Última opción FUERA DE ESPAÑA","Nivel de estudios alcanzados si eres estudiante marca los que estés cursando actualmente","Nivel socioeconómico","Estado civil","Vivo con...","¿Qué marcas de succionadores de clítoris conoces? ","¿Has comprado alguna vez un succionador de clítoris?","En el caso de SÍ haberlo comprado, ¿con qué fin?","La masturbación es algo positivo","Creo que el hecho de que esté normalizado en la sociedad facilita la compra del succionador de clítoris ","Los succionadores de clítoris contribuyen a mi salud sexual","Siempre estoy dispuesta a escuchar opiniones aunque sean contrarias a las mías","Pienso que los succionadores de clítoris introducen nuevas experiencias dentro de la pareja","Creo que la masturbación es importante para descubrir qué prácticas sexuales me gustan más","Antes de comprarlo tuve en cuenta las recomendaciones de mis amigas/gente cercana","Pienso que el succionador de clítoris me aporta sensaciones que no puedo proporcionarme por mí misma ","A la hora de mantener una relación a distancia el succionador de clítoris puede aportar beneficios","Pienso que la gente me va a juzgar si se enteran de que uso el succionador de clítoris","Me afectaría si la gente me juzgara porque tengo un succionador de clítoris","Creo que el succionador de clítoris tiene un precio adecuado para el servicio que me ofrece","Entiendo y respeto puntos de vista que no son iguales que los míos.","Este producto está destinado exclusivamente a personas solteras","Pienso que usar este tipo de productos puede afectar a la hora de alcanzar el placer en mis relaciones futuras","El succionador de clítoris facilita que ambos miembros de la pareja disfruten de la relación sexual","El succionador de clítoris me ayuda a disfrutar de mi sexualidad","Un succionador de clítoris puede ayudar a romper la monotonía en una relación a distancia","Los succionadores de clítoris ayudan a introducir nuevas prácticas sexuales dentro de la pareja","Creo que el succionador de clítoris es un buen regalo para hacerle a mis amigas","Aproveché una oferta Black Friday, navidades, precio rebajado... para comprarme mi succionador de clítoris","Puede ser una manera de mantener relaciones con mi pareja a distancia","Tuve en cuenta la opinión de expertos, sexologos, dependientes de sex shops, doctores... a la hora de comprarlo","Creo que este tipo de productos debería estar más presente en los medios de comunicación eliminando así los tabús.","Pienso que al tener una relación a distancia el succionador de clítoris es una manera de seguir con mi salud sexual","¿Qué precio como máximo estarías dispuesta a pagar por un succionador de clítoris?","Por debajo de qué precio no comprarías un succionador de clítoris","¿Te has planteado alguna vez comprar un succionador de clítoris? Uso personal, regalo...","La masturbación es algo positivo","Creo que los succionadores de clítoris ayudan a dar un mayor protagonismo a la mujer en las relaciones sexuales en pareja ","Pienso que los succionadores de clítoris podrían introducir nuevas experiencias dentro de la pareja","Creo que la masturbación es importante para descubrir qué prácticas sexuales me gustan más","Siempre estoy dispuesta a escuchar opiniones aunque sean contrarias a las mías","A la hora de mantener una relación a distancia el succionador de clítoris puede aportar beneficios","Si me compro el succionador de clítoris creo que la gente me va a juzgar","Me afectaría si la gente me juzgara por comprarme un succionador de clítoris","Este producto está destinado exclusivamente a personas solteras","Creo que el succionador de clítoris es un buen regalo para hacerle a mis amigas","Puede ser una manera de mantener relaciones con la pareja a distancia","Creo que este tipo de productos debería estar más presente en los medios de comunicación eliminando así los tabús.","Pienso que al tener una relación a distancia el succionador de clítoris es una manera de seguir con mi salud sexual","Entiendo y respeto puntos de vista que no son iguales que los míos.","No me lo compraría a no ser que alguien me lo recomendara","Me plantearía comprar el producto si me lo recomendase mi influencer de confianza","¿Qué precio como máximo estarías dispuesta a pagar por un succionador de clítoris?","Por debajo de qué precio no comprarías un succionador de clítoris"
"2021/03/14 5:25:52 p. m. EET","Sí","Mujer","18-24","Jaén","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Ambas opciones","4","4","4","4","4","4","4","4","4","1","1","4","4","1","1","4","4","4","4","4","4","4","1","4","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:35:27 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Con pareja","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","3","2","1","1","3","2","4","2","4","1","1","De 26 a 30€","De 16 a 20€"
"2021/03/14 5:35:56 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","3","4","2","3","1","4","4","3","3","3","3","1","Más de 36€","Menos de 15€"
"2021/03/14 5:36:28 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lelo;Mambo (platanomelon)","Sí","Ambas opciones","4","4","4","2","4","4","1","4","4","1","1","4","4","1","1","4","4","4","4","4","4","4","4","4","4","Más de 41€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:37:11 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Bajo / Medio-bajo","Soltero/a","Compañeros/as de piso","Satisyer;Lelo","Sí","Ambas opciones","4","3","3","3","4","4","4","2","2","1","2","3","2","1","2","3","4","2","4","4","4","2","2","4","2","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:39:07 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Alto / Medio-alto","Con pareja","Compañeros/as de piso","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","4","3","4","3","2","1","1","4","3","2","3","4","2","1","De 26 a 30€","Menos de 15€"
"2021/03/14 5:39:18 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Máster","Bajo / Medio-bajo","Con pareja","Compañeros/as de piso","Satisyer;Womanizer","Sí","Uso personal","4","4","3","4","3","4","3","3","3","3","3","3","3","1","1","4","4","3","3","4","4","3","3","4","3","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:42:05 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","2","3","3","3","3","3","3","3","2","1","2","2","3","3","3","1","De 21 a 25€","De 16 a 20€"
"2021/03/14 5:44:01 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Con pareja","Familia","Satisyer;We-vibe","Sí","Ambas opciones","4","4","4","4","4","4","2","4","3","2","3","3","4","1","3","4","4","3","4","4","2","3","1","4","3","Entre 36 y 40€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:45:23 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","1","1","1","4","4","4","4","4","1","2","De 21 a 25€","Menos de 15€"
"2021/03/14 5:48:15 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Lover yoyo","Sí","Uso personal","4","4","4","4","4","4","4","3","4","2","3","3","3","1","2","2","4","3","3","3","1","3","1","3","3","Entre 26 y 35€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:51:19 p. m. EET","Sí","Mujer","18-24","Valencia","Posgrado","Alto / Medio-alto","Con pareja","Familia","Satisyer;Lelo;Plátano melón ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","3","2","4","2","4","4","2","1","1","3","3","3","3","4","3","1","De 26 a 30€","De 16 a 20€"
"2021/03/14 5:51:32 p. m. EET","Sí","Mujer","18-24","Ciudad Real","Grado universitario","Bajo / Medio-bajo","Soltero/a","Compañeros/as de piso","Satisyer;Lelo","Sí","Ambas opciones","4","4","3","2","3","4","3","1","2","1","1","3","3","1","3","2","3","2","2","2","1","3","1","1","1","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:52:17 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","3","4","4","4","2","4","3","1","1","2","4","1","3","3","3","3","4","3","4","4","1","3","3","Entre 36 y 40€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 5:52:19 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","3","3","4","3","2","1","3","3","4","4","3","2","2","De 21 a 25€","Menos de 15€"
"2021/03/14 5:53:53 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","2","4","3","4","3","3","2","2","3","4","3","3","4","3","2","De 26 a 30€","Menos de 15€"
"2021/03/14 5:55:17 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Con pareja","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","4","4","3","2","3","1","3","2","4","2","4","1","2","De 16 a 20€","Menos de 15€"
"2021/03/14 5:55:23 p. m. EET","Sí","Mujer","18-24","Badajoz","Posgrado","Medio","Con pareja","Compañeros/as de piso","Satisyer;Lover yoyo;We-vibe","Sí","Uso personal","4","4","3","4","4","4","3","3","4","2","1","3","4","1","2","3","4","4","4","4","4","4","3","4","4","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 6:00:07 p. m. EET","Sí","Mujer","39 o más","Barcelona","Posgrado","Medio","Casado/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","3","4","4","4","1","1","1","3","2","2","3","4","1","1","Más de 36€","Más de 36€"
"2021/03/14 6:02:51 p. m. EET","Sí","Mujer","18-24","Sevilla","Posgrado","Alto / Medio-alto","Soltero/a","Familia","Satisyer;Lelo;Mambo, de plátano-melón","Sí","Uso personal","4","3","4","4","4","4","3","4","4","2","4","4","4","1","4","3","4","3","4","4","1","2","3","4","4","Entre 36 y 40€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 6:04:20 p. m. EET","Sí","Mujer","25-30","Fuera de España","Grado universitario","Medio","Con pareja","Familia","Satisyer;Womanizer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","1","4","1","4","3","4","1","1","4","4","3","2","4","4","2","De 26 a 30€","Menos de 15€"
"2021/03/14 6:07:52 p. m. EET","Sí","Mujer","18-24","Huesca","Posgrado","Medio","Con pareja","Familia","Satisyer;Lelo;Mambo ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","1","1","1","4","4","3","4","4","3","1","De 31 a 35€","De 16 a 20€"
"2021/03/14 6:08:29 p. m. EET","Sí","Mujer","18-24","Barcelona","Grado universitario","Alto / Medio-alto","Soltero/a","Familia","Satisyer;Womanizer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","1","De 21 a 25€","Menos de 15€"
"2021/03/14 6:12:34 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Ambas opciones","4","4","3","3","4","4","4","4","3","2","3","4","3","1","3","3","4","2","3","4","4","1","2","3","2","Entre 21 y 25€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 6:17:09 p. m. EET","Sí","Mujer","18-24","Toledo","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lelo","Sí","Regalo","4","4","4","4","4","4","3","3","4","2","2","3","3","1","2","3","4","4","4","4","3","4","4","3","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 6:17:56 p. m. EET","Sí","Mujer","18-24","Valladolid","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Platano melon ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","4","4","3","2","2","1","3","3","3","3","4","2","2","De 21 a 25€","Menos de 15€"
"2021/03/14 6:19:08 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","3","1","1","1","4","3","4","4","4","2","4","De 31 a 35€","Menos de 15€"
"2021/03/14 6:21:01 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Ambas opciones","4","3","1","4","3","4","4","2","3","1","1","3","4","1","3","3","1","3","3","3","4","3","3","3","4","Entre 36 y 40€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 6:30:33 p. m. EET","Sí","Mujer","18-24","Huesca","Posgrado","Medio","Con pareja","Familia","Satisyer;Lelo;Mambo ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","1","1","1","4","4","3","4","4","3","1","De 31 a 35€","De 16 a 20€"
"2021/03/14 6:31:18 p. m. EET","Sí","Mujer","18-24","Zaragoza","Posgrado","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","3","2","2","2","4","1","2","1","1","1","1","1","1","3","1","1","Menos de 15€","Menos de 15€"
"2021/03/14 6:33:09 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Alto / Medio-alto","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","1","1","2","2","3","2","1","2","2","1","2","2","2","4","1","1","De 31 a 35€","De 16 a 20€"
"2021/03/14 6:33:47 p. m. EET","Sí","Mujer","25-30","Fuera de España","Grado universitario","Medio","Con pareja","Familia","Satisyer;Womanizer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","1","4","1","4","3","4","1","1","4","4","3","2","4","4","2","De 26 a 30€","Menos de 15€"
"2021/03/14 6:35:19 p. m. EET","Sí","Mujer","18-24","Cádiz","Máster ","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Lelo;Plátano melón ","Sí","Uso personal","4","4","3","4","4","4","3","3","3","1","1","3","4","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 6:40:11 p. m. EET","Sí","Mujer","18-24","Zaragoza","Grado universitario","Medio","Con pareja","Familia","Satisyer;Womanizer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","3","3","3","4","3","2","2","1","4","3","3","3","4","2","2","De 26 a 30€","Menos de 15€"
"2021/03/14 6:41:38 p. m. EET","Sí","Mujer","18-24","Valladolid","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Womanizer;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","1","2","1","4","4","4","4","4","2","2","De 31 a 35€","Menos de 15€"
"2021/03/14 6:46:38 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Alto / Medio-alto","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","4","4","4","4","3","4","3","4","4","3","4","1","3","4","4","4","4","2","4","4","1","2","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 6:48:08 p. m. EET","Sí","Mujer","18-24","Lugo","Máster","Bajo / Medio-bajo","Con pareja","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","3","4","4","1","1","1","3","3","4","2","3","2","2","De 21 a 25€","Menos de 15€"
"2021/03/14 6:49:33 p. m. EET","Sí","Mujer","18-24","Barcelona","Grado universitario","Alto / Medio-alto","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","2","3","1","4","3","4","4","4","4","4","De 31 a 35€","Menos de 15€"
"2021/03/14 6:50:20 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Bajo / Medio-bajo","Soltero/a","Solo/a","Satisyer","Sí","Ambas opciones","4","4","4","4","4","3","4","1","4","1","1","3","4","1","3","3","4","1","3","4","4","2","1","3","1","Menos de 20€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 6:51:42 p. m. EET","Sí","Mujer","18-24","Cáceres","Grado universitario","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","3","4","4","4","4","4","3","1","1","4","4","3","4","4","1","3","De 21 a 25€","Menos de 15€"
"2021/03/14 6:54:13 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","3","2","3","3","4","2","3","3","2","2","3","3","3","4","2","2","Menos de 15€","Menos de 15€"
"2021/03/14 6:55:30 p. m. EET","Sí","Mujer","25-30","Barcelona","Posgrado","Medio","Con pareja","Familia","Lelo;Plátano melón","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","2","1","1","4","4","4","3","4","2","3","De 26 a 30€","De 16 a 20€"
"2021/03/14 6:55:45 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Alto / Medio-alto","Con pareja","Solo/a","Satisyer;Womanizer","Sí","Uso personal","4","2","4","4","4","4","4","4","4","3","3","3","3","1","2","3","4","4","4","4","4","4","4","4","4","Más de 41€","De 31 a 35€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 6:57:27 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","2","3","4","4","2","3","4","1","1","3","3","1","2","2","4","3","4","4","4","4","2","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 7:03:24 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Bajo / Medio-bajo","Soltero/a","Familia","platanomelón ","Sí","Uso personal","4","4","4","4","4","4","2","2","3","1","1","4","4","1","2","4","4","2","3","4","4","3","4","4","4","Más de 41€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 7:09:26 p. m. EET","Sí","Mujer","18-24","Asturias","Posgrado","Medio","Con pareja","Compañeros/as de piso","Satisyer;Lover yoyo;Platanomelon","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","4","3","3","2","3","1","3","3","4","3","3","1","2","De 21 a 25€","Menos de 15€"
"2021/03/14 7:09:37 p. m. EET","Sí","Mujer","18-24","Cáceres","Grado universitario","Bajo / Medio-bajo","Soltero/a","Compañeros/as de piso","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","1","1","1","1","3","3","4","3","4","2","1","De 21 a 25€","Menos de 15€"
"2021/03/14 7:17:33 p. m. EET","Sí","Mujer","18-24","Zaragoza","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Lover yoyo;Lelo","Sí","Ambas opciones","4","4","4","4","4","4","4","4","4","1","1","3","4","1","1","3","4","3","3","4","4","3","2","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 7:17:38 p. m. EET","Sí","Mujer","18-24","Navarra","Máster universitario ","Medio","Con pareja","Familia","Satisyer;Lelo","Sí","Uso personal","3","3","3","3","3","4","3","2","2","2","2","2","2","1","2","2","4","3","2","4","4","2","2","4","3","Menos de 20€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 7:18:21 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","2","4","1","1","4","4","1","3","3","4","4","4","3","4","2","3","3","3","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 7:24:20 p. m. EET","Sí","Mujer","31-38","Madrid","Posgrado","Alto / Medio-alto","Con pareja","Compañeros/as de piso","Satisyer;Lelo","Sí","Ambas opciones","4","4","4","4","4","4","4","4","3","2","1","4","4","1","1","4","4","4","4","4","2","2","1","4","4","Más de 41€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 7:30:27 p. m. EET","Sí","Mujer","18-24","Navarra","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer;Womanizer;Lelo","Sí","Uso personal","4","4","4","4","4","4","2","3","4","1","1","3","4","1","1","3","4","3","3","3","1","4","3","4","4","Más de 41€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 7:37:29 p. m. EET","Sí","Mujer","18-24","Badajoz","Posgrado","Medio","Con pareja","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","4","3","3","4","4","3","4","2","1","4","3","1","1","4","4","4","3","3","3","4","1","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 7:41:00 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","3","4","4","4","4","1","1","1","2","4","4","4","4","4","2","Más de 36€","Menos de 15€"
"2021/03/14 7:44:33 p. m. EET","Sí","Hombre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 7:47:45 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Bajo / Medio-bajo","Con pareja","Solo/a","Satisyer;Lelo","Sí","Uso personal","4","4","4","4","4","4","2","3","4","2","1","4","4","1","3","4","4","4","4","4","1","4","1","4","4","Entre 36 y 40€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 8:00:01 p. m. EET","Sí","Mujer","18-24","Valencia","Grado universitario","Medio","Con pareja","Solo/a","Satisyer","Sí","Uso personal","4","4","3","4","4","4","4","2","2","2","1","3","3","1","1","4","4","4","4","4","3","4","3","3","3","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 8:05:51 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Soltero/a","Solo/a","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","4","4","2","1","4","3","1","1","3","4","4","4","4","3","4","4","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 8:06:32 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","1","3","3","4","2","1","1","1","3","1","2","1","3","1","1","Menos de 15€","Menos de 15€"
"2021/03/14 8:16:58 p. m. EET","Sí","Mujer","18-24","Cádiz","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","4","4","1","1","4","3","1","3","4","4","4","4","4","4","4","1","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 8:26:46 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lelo;We-vibe","Sí","Uso personal","4","4","4","4","4","4","4","2","3","2","1","2","2","1","2","4","4","4","4","4","4","4","4","4","4","Entre 21 y 25€","De 31 a 35€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 8:30:35 p. m. EET","Sí","Mujer","25-30","Madrid","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","No","Regalo","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","3","4","4","4","2","1","1","2","2","3","3","4","3","1","De 21 a 25€","De 26 a 30€"
"2021/03/14 8:33:40 p. m. EET","Sí","Mujer","18-24","Gerona","Posgrado","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Ambas opciones","4","4","4","3","4","3","4","4","4","1","3","3","4","1","3","3","4","4","4","4","2","4","2","4","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 8:34:19 p. m. EET","Sí","Mujer","18-24","Barcelona","Posgrado","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","3","4","4","3","4","1","1","1","3","3","3","3","2","3","3","De 16 a 20€","De 21 a 25€"
"2021/03/14 8:43:34 p. m. EET","Sí","Mujer","18-24","Ciudad Real","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","3","2","2","1","3","2","4","3","4","2","1","De 21 a 25€","Menos de 15€"
"2021/03/14 8:43:37 p. m. EET","Sí","Mujer","18-24","Valencia","Grado universitario","Medio","Con pareja","Solo/a","Satisyer","Sí","Uso personal","4","4","3","4","4","4","4","2","2","2","1","3","3","1","1","4","4","4","4","4","3","4","3","3","3","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 8:54:03 p. m. EET","Sí","Mujer","18-24","Badajoz","Posgrado","Medio","Con pareja","Compañeros/as de piso","Satisyer","Sí","Ambas opciones","4","4","3","3","3","4","3","1","3","1","1","2","2","1","1","4","3","3","4","4","3","3","3","4","4","Entre 21 y 25€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 8:54:07 p. m. EET","Sí","Mujer","18-24","Cáceres","Grado universitario","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","3","4","4","4","4","4","3","1","1","4","4","3","4","4","1","3","De 21 a 25€","Menos de 15€"
"2021/03/14 9:01:17 p. m. EET","Sí","Mujer","39 o más","Islas Baleares","Posgrado","Bajo / Medio-bajo","Con pareja","Compañeros/as de piso","Satisyer;Womanizer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","1","1","1","4","4","1","4","4","3","2","Más de 36€","De 26 a 30€"
"2021/03/14 9:07:06 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Alto / Medio-alto","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","2","4","4","4","2","1","3","2","4","3","4","1","1","De 26 a 30€","Menos de 15€"
"2021/03/14 9:07:46 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","4","4","4","3","4","2","2","3","2","3","3","4","1","2","3","4","3","3","3","4","1","1","3","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 9:15:32 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Lover yoyo","Sí","Uso personal","4","4","4","4","4","4","4","3","4","2","3","3","3","1","2","2","4","3","3","3","1","3","1","3","3","Entre 26 y 35€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 9:24:31 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","3","3","4","4","4","3","3","4","1","1","2","4","1","1","3","4","3","4","4","4","4","3","3","4","Entre 21 y 25€","De 26 a 30€","","","","","","","","","","","","","","","","","","",""
